Argentina;-343647;582238
Australia;-335204;-1511226
Nueva Zelanda;-411712;-1744632
Uruguay;-345000;561002
Brazil;-154647;475547
Paraguay;-251802;573809
Peru;-151257;711949
Colombia;132000;812100
Venezuela;102917;665245
Chile;-332725;703854
Cuba;230759;822259
Honduras;153801;881500
Estados Unidos;351459;773439
Canada;452440;754153
Mexico;192542;990740
Espana;402459;34209
Portugal;384301;90801
Francia;485112;-22056
Alemania;523128;-132438
Polonia;521347;210042
Reino Unido;513046;531
Italia;421328;-121121
Austria;481231;-162219
Belgica;505102;-42056
Paises Bajos;522227;-45323
Afganistan;343141;-691020
Japon;353654;-1393453
China;351233;-1104358
Corea;373606;-1265840
Mongolia;433014;-1072413
India;283809;-771328
Vietnam;203415;-1061917
Filipinas;141918;-1234211
Tailandia;145813;-1043745
Marruecos;333534;73709
Sudan;125033;-325407
Sudafrica;-334154;-192832
Egipto;261728;-314513
Argelia;361454;-55636
Somalia;23825;-432946
Camerun;55631;-143814
Cogo;-12023;-151542
Senegal;145046;172659
Guinea;111253;134701
