Afganistan;33;66
Albania;41;20
Alemania;51.5;10.5
Andorra;42.55;1.58333
Angola;-12.5;18.5
Antartida;-67.5889;145617
Arabia Saudita;25;45
Argentina;-34;-64
Armenia;40.25;45
Australia;-25;135
Austria;47.3333;13.3333
Azerbaiyan;40.5;47.5
Belgica;50.75;4.5
Bhutan;27.5;90.5
Bolivia;-17;-65
Bosnia y Herzegovina;44.25;17.8333
Botsuana;-22;24
Brasil;-10;-55
Bulgaria;42.6667;25.25
Burkina Faso;12.5;-1.66667
Burundi;-3.5;30
Cabo Verde;16;-24
Camboya;13;105
Camerun;6;12.5
Canada;60.1087;-113643
Chad;15;19
Chile;-30;-71
China;35;105
Chipre;35;33
Ciudad del Vaticano;41.9022;12.4533
Colombia;4;-73.25
Comoros;-12.2333;44.4455
Congo;-1;15.5
Corea del Norte;40;127
Corea del Sur;36.5;127.75
Costa de Marfil;8;-5.5
Costa Rica;10;-84
Croacia;45.1667;15.5
Cuba;22;-79.5
Dinamarca;56;10
Dominica;15.5;-61.3333
Ecuador;-1.25;-78.25
Egipto;27;30
El Salvador;13.8333;-88.9167
Emiratos arabes Unidos;23.75;54.5
Eritrea;15;39
Eslovaquia;48.6667;19.5
Eslovenia;46.0833;15
Espana;40;-4
Estados Unidos de America;39.76;-98.5
Estonia;59;26
Etiopia;9;39.5
Filipinas;13;122
Finlandia;64;26
Francia;46;2
Gabon;-1;11.75
Gambia;13.5;-15.5
Georgia;42;43.4999
Ghana;8.1;-1.2
Granada;12.1167;-61.6667
Grecia;39;22
Groenlandia;63.8333;-41.7167
Guatemala;15.5;-90.25
Guayana;5;-59
Guayana Francesa;4.1;-54.45
Guinea;10.8333;-10.6667
Guinea Ecuatorial;1.7;10.5
Guinea-Bissau;12;-15
Haiti;19;-72.4167
Honduras;15;-86.5
Hungria;47;20
India;22;79
Indonesia;-5;120
Irak;33;44
Iran;32;53
Irlanda;53;-8
Islandia;65;-18
Israel;31.5;34.75
Italia;42.8333;12.8333
Jamaica;18.1667;-77.25
Japon;35.6854;139753
Jordania;31;36
Kazajstan;48;68
Kenia;1;38
Kirguistan;41.5;75
Kuwait;29.5;47.75
Laos;18;105
Letonia;57;25
Libano;33.8333;35.8333
Liberia;6.5;-9.5
Libia;28;17
Lituania;55.4167;24
Macedonia;41.6667;21.75
Malasia;2.5;112.5
Mali;18;-2
Marruecos;32;-6
Mauritania;20.25;-10.5
Mexico;23;-102
Micronesia;8.55869;151335
Mongolia;46;105
Montenegro;42.75;19.25
Montserrat;16.7;-62.2
Mozambique;-18.25;35
Myanmar;21;96
Namibia;-22;17
Nepal;28;84
Nicaragua;13;-85
Niger;18;9
Nigeria;10;8
Noruega;62;10
Nueva Zelanda;-42;174
Oman;21;57
Paises Bajos;52.25;5.75
Pakistan;30;70
Panama;9;-80
Paraguay;-23.3333;-58
Peru;-10;-75.25
Polinesia Francesa;-17.75;-149283
Polonia;52;20
Portugal;39.6945;-8.13057
Puerto Rico;18.4676;-66.1136
Qatar;25.5;51.25
Reino Unido;54.7584;-2.69531
Republica Centro-Africana;7;21
Republica Checa;49.75;15
Republica Dominicana;19;-70.6667
Ruanda;-2;30
Rumania;46;25
Rusia;60;100
Sahara Occidental;23.7667;-12.25
Samoa;-13.8;-172133
Samoa Americana;-14.2975;-170758
Senegal;14.5;-14.25
Serbia y Montenegro;44.8189;20.46
Sierra Leona;8.5;-11.5
Siria;35;38
Somalia;6;48
Suazilandia;-26.5;31.5
Sudafrica;-29;24
Sudan;16;30
Suecia;62;15
Suiza;47.0002;8.01427
Surinam;4;-56
Tailandia;15.5;101
Taiwan;24;121
Tanzania;-6;35
Tayikistan;39;71
Togo;8.66667;1.08333
Trinidad y Tobago;11;-61
Tunez;34;9
Turkmenistan;39.75;59.6667
Turquia;39;35
Ucrania;49;32
Uganda;1.25;32.5
Uruguay;-33;-56
Uzbekistan;41.6667;63.8333
Venezuela;8;-66
Vietnam;16.1667;107833
Yemen;15.5;47.5
